Active Rank,Store name,Creation time,Active Robot,Bind the robot,Run time(h),Running Mileage(km),Number of tasks
1,Ресторан ГрильХаус,2022-08-10 02:42:54,2,1,19.38,17.73,1097
2,Baltiya Hotel,2022-02-03 06:23:56,1,1,262.84,1.65,176
3,Sber Univercity,2022-01-14 05:23:26,1,1,144.22,16.31,880
4,Firemakers,2021-11-16 17:18:24,1,1,64.04,70.14,4718
5,Фанджамп Екатеринбург,2022-04-19 06:50:34,1,1,53.64,64.14,1296
6,Fun Jump,2022-02-02 11:07:07,1,1,52.23,55.47,1927
7,Компот,2022-04-20 05:52:08,1,1,52.05,39.74,3981
8,Parmesan,2022-01-17 06:47:02,3,3,147.92,101.77,7036
9,Fun Jump Kazan,2022-08-04 05:46:05,1,1,36.12,25.75,1164
10,Perchini,2021-12-15 21:51:40,1,1,33.35,34.29,1740
11,Neo,2021-11-25 12:08:03,1,1,23.18,14.69,1834
12,Jango Park,2021-12-27 09:45:59,1,1,16.61,13.75,613
13,Динозаврия,2022-09-05 02:07:21,2,2,32.38,25.12,1016
14,АРТ-Премиум,2022-06-10 05:40:41,1,1,7.09,1.73,226
15,Chajhana hariba,2022-02-06 07:59:47,1,1,4.45,9.15,71
16,Velich,2021-12-08 16:42:06,1,1,2.65,2.25,151
17,Чайхана PLOV,2022-03-05 05:35:17,1,1,2.28,2.25,88
18,Деревенское Молочко,2023-03-24 10:32:18,1,1,0.02,0.01,2
19,Gastreet_panorama,2021-05-31 15:00:41,4,5,81.37,73.39,2166
20,Flagman office,2021-09-30 17:54:31,2,3,8.69,8.56,469
21,Soft-servis,2021-02-05 18:00:44,7,12,179.54,186.88,6267
22,Soft-Stend,2022-10-05 06:35:29,3,6,111.64,82.61,5297
23,Санаторий Заполярье,2022-07-07 07:05:58,1,3,23.14,2.65,3
24,IDMClinic,2023-02-14 04:41:15,0,0,0.00,0.00,0
25,Fun-Day,2022-12-30 10:46:27,0,0,0.00,0.00,0
26,SMS,2022-10-28 07:58:44,0,1,0.00,0.00,0
27,Агрокомплекс,2022-10-16 10:38:02,0,2,0.00,0.00,0
28,Грильвет,2022-10-16 10:27:16,0,0,0.00,0.00,0
29,АРТ-Премиум,2022-06-10 04:46:25,0,0,0.00,0.00,0
30,Shtof,2021-12-08 16:02:44,0,1,0.00,0.00,0
